number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_params_decision_threshold,params_params_feature_fraction,params_params_resampling,params_params_sample_rows,params_params_scale_pos_weight,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,user_attrs_acc_test,user_attrs_acc_val,user_attrs_decision_threshold,user_attrs_f1_test,user_attrs_f1_val,user_attrs_feature_fraction,user_attrs_pr_auc_test,user_attrs_pr_auc_val,user_attrs_prec_test,user_attrs_prec_val,user_attrs_rec_test,user_attrs_rec_val,user_attrs_resampling_strategy,user_attrs_roc_auc_test,user_attrs_roc_auc_val,user_attrs_sample_rows,state
10,0.6037151702786377,2025-09-23 11:09:02.718595,2025-09-23 11:09:43.452386,0 days 00:00:40.733791,60.53082080079022,dart,0.8333800304661316,4.375872112626925,lossguide,22.420123713724433,0.0036905100721932025,10,8,8.663279761354557,700,forest,0.6914473368931056,0.5716766437045232,none,0.7307396811264659,3.1486803115634836,0.03551802909894347,weighted,0.07841636973138665,0.5067532150606222,0.8454294195925888,0.8427518427518428,0.6914473368931056,0.6157760814249363,0.6037151702786377,0.5716766437045232,0.7524313270015317,0.7454172435705362,0.7600502512562815,0.7602339181286549,0.5175363558597091,0.5006418485237484,none,0.8897862905022184,0.8885492069760381,0.7307396811264659,COMPLETE
11,0.6111497289031003,2025-09-23 11:09:43.676927,2025-09-23 11:09:44.181305,0 days 00:00:00.504378,0.5079406641139773,gbtree,0.6935471974998055,5.684339488686485,depthwise,0.00012963993440545028,0.0730915536707506,3,5,2.3358825194833552,500,,0.47481278151973655,0.5644631488274267,undersample,0.5301127358146349,2.492305066047412,,,,0.6896765781779371,0.7126625038386734,0.7136568386568387,0.47481278151973655,0.6096509525796134,0.6111497289031003,0.5644631488274267,0.7350684357534588,0.7232976987544661,0.45167937358335053,0.45263591433278416,0.9375534644995723,0.9405220367993153,undersample,0.8937462752561663,0.8918838652934051,0.5301127358146349,COMPLETE
12,0.7069232470692325,2025-09-23 11:09:44.394329,2025-09-23 11:10:20.941153,0 days 00:00:36.546824,0.8291821660947629,dart,0.573048618285045,2.088767560948347,depthwise,0.0009286607861420475,0.4528612698907591,1,7,0.202364548436489,700,tree,0.6351779629995216,0.8696317896991508,undersample,0.9882297325066979,0.6238330970396088,0.3281647947326367,weighted,0.12436465621375242,0.4026332820318257,0.8618077592384072,0.8643529893529893,0.6351779629995216,0.7051114023591087,0.7069232470692325,0.8696317896991508,0.8124312926286512,0.8055361546473382,0.7205357142857143,0.7316849816849816,0.6903336184773311,0.6837826272999572,undersample,0.9206853321444083,0.9193778598219868,0.9882297325066979,COMPLETE
13,0.47821159987637785,2025-09-23 11:10:21.064057,2025-09-23 11:10:26.393014,0 days 00:00:05.328957,1.4283436757818848,dart,0.4123115927515564,4.1426299451467,depthwise,0.00024259674980082617,0.0002748971713832693,6,5,0.8993930726120073,300,tree,0.3732765448028467,0.6350039865960824,none,0.5100537730937468,1.9296695294319153,0.46464809878810703,uniform,0.2867120572061913,0.6532811633652602,0.47916879926297473,0.48147010647010646,0.3732765448028467,0.4774034511092851,0.47821159987637785,0.6350039865960824,0.7664661565283993,0.7619025668603281,0.3141389564747229,0.31492537313432833,0.9940119760479041,0.9931536157466838,none,0.9003143145625239,0.8996285725983282,0.5100537730937468,COMPLETE
14,0.6565228236467947,2025-09-23 11:10:26.516750,2025-09-23 11:10:38.508394,0 days 00:00:11.991644,0.04816729655337448,dart,0.7595834202540035,2.230816326406183,lossguide,52.058789939770044,0.015486217163293382,4,8,5.209016311370383,400,tree,0.6824334538892896,0.8300867687463425,none,0.7119275242790899,2.2027246078483267,0.4405515985555808,uniform,0.5231455853722728,0.8771269379769022,0.8640597809397073,0.859029484029484,0.6824334538892896,0.6707982151710461,0.6565228236467947,0.8300867687463425,0.8039568329641074,0.7968202686800587,0.7977594339622641,0.7870813397129187,0.5786997433704021,0.5631151048352588,none,0.9155151258127382,0.9141926577457986,0.7119275242790899,COMPLETE
15,0.0,2025-09-23 11:10:38.631747,2025-09-23 11:10:57.956096,0 days 00:00:19.324349,0.8302424198157791,dart,0.5451347483471791,5.908727612481732,depthwise,0.27922319558850817,0.0012686370088250765,4,4,5.127370874628437,500,tree,0.6995388026271465,0.9240041146611172,undersample,0.9340630286841072,0.7053721507221737,0.44596167750783605,uniform,0.7255745901414772,0.7216826160013512,0.7606715119254785,0.7607493857493858,0.6995388026271465,0.0,0.0,0.9240041146611172,0.7694520717856609,0.7612181854114235,0.0,0.0,0.0,0.0,undersample,0.9018753829787797,0.8989498421852458,0.9340630286841072,COMPLETE
16,0.6314080259800511,2025-09-23 11:10:58.168913,2025-09-23 11:10:58.672455,0 days 00:00:00.503542,71.30648520760764,gbtree,0.2093712673480016,7.22055599470348,lossguide,15.786794495246708,0.037998645149514045,1,3,2.2941829510695264,500,,0.5084146424816517,0.6726758403484514,undersample,0.5999982624482001,0.566640996669681,,,,0.8846426739140889,0.8346811342000204,0.8373259623259623,0.5084146424816517,0.6323696790348281,0.6314080259800511,0.6726758403484514,0.7279969335187546,0.7237414170650196,0.6759124087591241,0.6894630192502533,0.5940975192472199,0.5823705605477107,undersample,0.8809208677632911,0.8773213636774833,0.5999982624482001,COMPLETE
17,0.6280825364871666,2025-09-23 11:10:58.886062,2025-09-23 11:10:59.307245,0 days 00:00:00.421183,0.4828316556556039,gbtree,0.6719279810836568,2.3789282137450862,depthwise,40.298045932583044,0.019898941052492777,4,4,5.391204002783814,200,,0.38393749959004886,0.6271782408851965,none,0.9721861949919668,0.7676495686400058,,,,0.6285062424199667,0.8521854846964889,0.8486895986895987,0.38393749959004886,0.6427511133102425,0.6280825364871666,0.6271782408851965,0.7628378125436734,0.7568125724812114,0.7623239436619719,0.7623701893708003,0.5556030795551754,0.5340179717586649,none,0.8922149357205769,0.8921982970759313,0.9721861949919668,COMPLETE
18,0.6656540084388186,2025-09-23 11:10:59.520421,2025-09-23 11:11:13.296598,0 days 00:00:13.776177,1.1922206532486979,dart,0.6292633688869778,0.24678728391331228,lossguide,0.00025321987424989096,0.0024962766973491597,2,9,0.3457888877316665,400,forest,0.5353268454214423,0.592817972152976,none,0.8144909217955744,3.38858558926625,0.3315391015500504,weighted,0.23699013906343558,0.5629574756448363,0.7981369638652882,0.7971949221949222,0.5353268454214423,0.6701237872198059,0.6656540084388186,0.592817972152976,0.7512131858024897,0.7413245308220983,0.5502747252747253,0.5496098104793757,0.8567151411462789,0.8438168592212237,none,0.8996200746899994,0.8952478045486743,0.8144909217955744,COMPLETE
19,,2025-09-23 11:11:13.424035,2025-09-23 11:11:13.509882,0 days 00:00:00.085847,0.000142552982584589,gbtree,0.5397483750012051,2.13311977367482,lossguide,0.1285891375725624,0.05051422644225127,3,12,0.5778630530599798,300,,0.5347137385832674,0.6980298514036469,oversample,0.5587659279810165,3.654480175121868,,,,0.36597606035288754,,,,,,,,,,,,,,,,,FAIL
